국적?지역,성별,성별합계,0-4세,5-9세,10-14세,15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,50-54세,55-59세,60세이상
소말리아,M,3,0,0,0,0,1,2,0,0,0,0,0,0,0
지부티,M,2,0,0,0,0,0,0,0,0,0,0,1,1,0
에리트레아,M,2,0,0,0,0,1,0,0,0,1,0,0,0,0
기니비사우,F,2,0,0,0,0,0,0,1,0,1,0,0,0,0
레소토,M,1,0,0,0,0,0,0,1,0,0,0,0,0,0
레소토,F,1,0,0,0,0,0,0,0,1,0,0,0,0,0
니제르,M,2,0,0,0,0,0,0,0,0,0,0,1,1,0
세이셸,M,1,0,0,0,0,0,0,0,1,0,0,0,0,0
세이셸,F,1,0,0,0,0,0,0,0,0,0,1,0,0,0
남수단공화국,M,2,0,0,1,0,1,0,0,0,0,0,0,0,0
나미비아,F,1,0,0,0,0,1,0,0,0,0,0,0,0,0
상투메프린시페,M,1,0,0,0,0,0,0,0,0,0,0,0,1,0
기타,M,57,0,0,1,0,4,2,4,6,9,5,12,7,7
기타,F,35,1,0,0,1,3,2,6,0,3,0,2,3,14
